text,label
Statement download button is quite hard to find in the menu hierarchy,Low
All file uploads corrupted after storage bucket misconfiguration Need resolution today.,Critical
The password field toggle icon is barely visible on white background,Low
Trading platform is offline during market hours — we are losing money every second,Critical
CUSTOM 404 PAGE COULD HAVE A LINK BACK TO THE HOME OR SEARCH PAGE,Low
Would love an option to change the app's accent color,Low
"Live trading engine down during market hours, clients furious",Critical
Empty state illustration missing on the notifications page,Medium
Dashboard analytics numbers do not match the actual database,High
Mobile app losing internet connection randomly mid-session,High
Error messages disappear too quickly before user can read them,Medium
"Real-time dashboard showing zero data, streaming pipeline dead",Critical
Health checks passing but app serving stale cached responses,Critical
This is absolutely unacceptable — the entire checkout system has been offline for 6 hours,Critical
"This is outrageous, my entire account has been locked and I can't reach anyone",Critical
Would be helpful to have a confirmation step before deleting tags,Low
Packaging was excessive and environmentally wasteful for a small item,Medium
Submit button label says 'Save' on one page and 'Update' on another,Low
App version number not visible anywhere in the settings,Low
Would be nice to have a gift message option at checkout,Low
"Our SLA is breached, system has been down beyond the limit",Critical
Great product but the account login has been completely broken since yesterday,High
Bug report: tooltip appears on the wrong side near page edges,Low
"A little frustrated with the tooltip positioning, it's been off for weeks",Low
Your system logged and transmitted patient health data to an analytics platform,Critical
Unable to delete account — button gives internal server error,High
Time zone displayed in notifications doesn't match user profile,Medium
Beyond annoyed — your app keeps crashing every time I try to make a payment,High
I'm pretty frustrated — the app has been slow for days and nothing has changed,Medium
Transition animation when opening modal feels a bit abrupt,Low
"Hi team, race condition in checkout causing orders to be placed twice",Critical
"yo the payment thing is busted again, customers cant check out",High
Dropzone for file upload not highlighting on drag-over event,Medium
"lol jk its not funny, logged out and cant get back in, deadline in 1hr",High
Your product is top tier but the mobile app crashes on every single checkout,High
Payment failed and money was deducted from my account,High
"Cronjobs not executing since last night, data pipeline broken",Critical
Back button does not preserve scroll position in list views,Medium
"cant login at all, tried everything, this is really bad for me rn",High
Bug report: dropzone for file upload not highlighting on drag-over event,Medium
"nobody is responding to my tickets and im losing it, please help asap",High
Feedback form submit button moves down when error messages appear,Low
Patient records system is completely down — clinic cannot access any records,Critical
Calendar events not syncing with Google Calendar integration,High
Fed up — my refund request has been ignored for two weeks now,High
Custom 404 page could have a link back to the home or search page,Low
Critical race condition causing data corruption in transactions,Critical
Accessibility statement says WCAG 2.1 AA but the site clearly doesn't meet it,Medium
Team member invitation emails being rejected by mail server,High
Delivery driver left a perishable order outside in summer heat for hours,High
This is the worst experience I've ever had — I can't log in to my account at all,High
Prescription management software crashed — pharmacists cannot verify medications,Critical
Would be nice if the table had a compact/comfortable density option This is very frustrating.,Low
"Automated wire transfers failed overnight — funds in limbo, regulators notified",Critical
Emergency patch required: known exploit in current library version,Critical
Gift wrapping I paid for was not applied to the order,Medium
User profile picture not updating after upload completes,High
Table header doesn't visually indicate which column is sorted Need resolution today.,Low
Parking is limited — could do with better signage for the overflow area,Low
Our entire platform is unreachable since the last deployment,Critical
Reports scheduled for daily email delivery stopped working,High
Standing order did not execute on the scheduled date causing missed payment,High
Some tooltips trigger on tap instead of hover on touch screens,Medium
Our data was included in your security breach — we need immediate incident response,Critical
Product images not loading on the listing pages intermittently,High
I need to cancel this order urgently but the cancel button does nothing,High
"Fraud detection flagging all legitimate transactions, blocking all payments",Critical
Payment processor returning fraud flags on all transactions,Critical
Cannot find an opt-out for behavioural tracking as required by regulations,Medium
"App shows outdated data after refresh, caching seems broken Need resolution today.",High
Mobile scroll sometimes triggers swipe-back navigation by mistake,Medium
I wish the team would respond to small feedback — icons feel dated,Low
Took 10 days to receive a response to my delivery enquiry email,Medium
"Feedback: DISASTER: entire AWS region unavailable, failover not triggering",Critical
Direct debit taken on wrong date causing an overdraft fee unfairly,High
Getting impatient with the slow response times on the dashboard,Medium
Order was placed but confirmation email never arrived,High
SYSTEM ASSIGNING INCORRECT TAX RATES IN EUROPEAN TRANSACTIONS,High
Feedback form submit button moves down when error messages appear,Low
Loading spinner keeps showing after data has already loaded,Medium
Magazine selection in waiting room is a bit outdated,Low
"Hover animation on cards is inconsistent — some scale, some don't",Low
"Entire microservices cluster is unresponsive, customers locked out",Critical
Copyright year in footer still shows last year,Low
"same issue as before btw, still not fixed from last week",Medium
Calendar events not syncing with Google Calendar integration,High
Cannot log in to my account after the password reset,High
I received someone else's order containing their personal prescription items,High
Promotional discount didn't apply at checkout despite meeting the conditions,Medium
Your terms changed and the notification email was sent to a deprecated address,Medium
"Payment gateway down, losing thousands of dollars every minute",Critical
Customers receiving incorrect invoices with wrong amounts,High
THIS IS BROKEN AND I NEED IT FIXED ASAP I HAVE A DEMO TOMORROW,High
Collapsible sections stay open on page reload unexpectedly,Medium
I unsubscribed from all marketing six months ago and still receive daily emails,High
Spacing between form fields seems a bit too wide on mobile,Low
New joiner cannot access any systems after three days — no IT access,High
I made a subject access request 40 days ago with no response — legal deadline missed,High
Generally excellent support but this issue has now escalated to affecting clients,High
Page takes a moment to respond after clicking action buttons Please fix ASAP.,Medium
Drag and drop in kanban board stopped working on Safari,High
Help center link in footer points to an outdated article,Low
Really annoyed that the calendar integration keeps dropping events,Medium
Printing module generating garbled text on all PDF exports,High
My subscription was charged twice this billing cycle,High
"Disgusting service, your platform went down during our live product launch",Critical
"DISASTER: entire AWS region unavailable, failover not triggering",Critical
Livid. You deleted three years of our customer records. Explain this NOW.,Critical
My medical records show incorrect information that could affect future care,High
Role-based permissions are broken after the latest deployment,High
my stuff didnt arrive and its been like 2 weeks already??,High
heads up the search is giving weird results since the update,Medium
Download button triggers for empty report without a warning,Medium
Production database crashed and all services are offline,Critical
Favicon is missing from the admin panel tab,Low
Hover state on secondary buttons has very low contrast,Medium
"its all broken cant get in, all staff locked out, boss is furious pls help",Critical
Print stylesheet missing causing poor formatting when printing,Medium
URGENT: SQL injection vulnerability exposed in login form,Critical
Order placed a week ago is still processing with no estimated delivery,High
Would love it if someone looked at the spacing issue on the settings page,Low
"Hi team, complete system outage affecting all users right now",Critical
Feedback: Would be nice to have a dark mode option for the dashboard,Low
Map widget fails to load in all browsers using older hardware,High
I am absolutely furious — your system wiped all my company data overnight,Critical
All ATMs in our network are offline — customers cannot withdraw cash,Critical
Markdown preview in editor not rendering bullet lists correctly Happening since yesterday.,Medium
Transaction categories in the app are often incorrectly assigned,Medium
Zero-day exploit being actively exploited in our infrastructure Need resolution today.,Critical
Would love keyboard shortcuts for common actions in the editor,Low
Tooltip appears on the wrong side near page edges,Low
App is slow sometimes when loading the reports section,Medium
The help text inside empty form fields is hard to read,Medium
Issue: Production database crashed and all services are offline,Critical
Undo action in the editor reverts two steps instead of one,Medium
Empty table placeholder text is generic — could be more helpful,Low
Would be nice to have a dark mode option for the dashboard,Low
Subscription upgrade not reflecting even after successful payment,High
minor thing but the logo looks a bit pixelated on retina screens,Low
Issue: The UI button alignment looks slightly off in the settings page,Low
System breach: unauthorized admin access detected in logs This is very frustrating.,Critical
Credit card data stored in plaintext discovered during audit — immediate action needed,Critical
Inactive tab in dashboard still polls the server unnecessarily,Medium
Bedside manner of the receptionist could definitely be improved,Medium
Graph labels overlap when viewing with more than 10 data points,Medium
"Our SLA is breached, system has been down beyond the limit",Critical
Insurance claim was rejected incorrectly — I have documentation proving coverage,High
Wrong item delivered and I need the correct one before my event tomorrow,High
Order confirmation email formatting looks a bit outdated,Low
WHY IS THIS SO SLOW every single day same issue smh,Medium
Waiting room décor is quite dated and could use a refresh,Low
Would appreciate more detailed merchant information in transaction history,Low
Employee handbook PDF is outdated and references old company policies,Low
"Kubernetes pods crashing in a loop, auto-healing not working Need resolution today.",Critical
"Authentication service offline, no one can log in to the platform",Critical
You used my photos in marketing materials without my permission or compensation,High
Graph labels overlap when viewing with more than 10 data points,Medium
All email notifications silently failing for past 48 hours,Critical
Default date range filter resets every time page refreshes,Medium
Phone hold times are excessive — averaged over 25 minutes every call,Medium
Critical security breach detected in our payment gateway,Critical
Waiting room was consistently overcrowded with very long waits each time,Medium
The mobile banking app could use a spending breakdown chart feature,Low
super tiny thing but the button colors look a bit off to me,Low
Image previews take a few extra seconds to generate thumbnails,Medium
"Database replication failed, master and slave out of sync",Critical
Lazy-loading images sometimes flash before fully rendering,Medium
Been a loyal customer for years but I cannot access my account at all right now,High
URGENT: SQL injection vulnerability exposed in login form,Critical
Font rendering differs slightly between Chrome and Firefox,Medium
Load balancer failure causing 100% packet loss to backend,Critical
"All API endpoints returning 500 errors, nothing is working",Critical
The loading message says 'Loading...' every time — could vary it,Low
User data syncing incorrectly between mobile and web apps,High
Issue: Scrolling in dropdown menus is not smooth on mobile devices,Medium
Spending analytics not updating until the following day — should be real-time,Medium
Issue: Would appreciate a 'Remember me' checkbox on the login page,Low
Feedback: Social login buttons could benefit from clearer provider labels,Low
"All API endpoints returning 500 errors, nothing is working",Critical
A bit annoyed that notifications are consistently 20 minutes late,Medium
omg the whole site just died?? all our customers are getting errors,Critical
"wtf just happened, app completely dead, losing sales every minute rn",Critical
Training completion records taking over a week to sync to employee profiles,Medium
My subscription box has been wrong for three consecutive months,High
Slightly annoyed — the button labels changed again with no explanation,Low
Minor display glitch on the sidebar when resizing window,Medium
Our entire platform is unreachable since the last deployment,Critical
Emergency: live payment system is processing duplicate charges Happening since yesterday.,Critical
Would be nice if the table had a compact/comfortable density option,Low
"Disk full on production server, writes failing system-wide",Critical
ICONS IN DROPDOWN MENU ITEMS ARE NOT VERTICALLY CENTERED,Low
Two-factor authentication codes are not being received,High
So angry right now — billing charged me for a plan I cancelled months ago,High
Modal close button is placed on opposite sides in different dialogs,Low
"Mortgage payment was posted to wrong account, affecting my credit score",High
Mobile onboarding screen is missing the skip button for returning users This is very frustrating.,Low
System assigning incorrect tax rates in European transactions,High
Tooltip text is cut off when hovered near the screen edge,Medium
Long email addresses get truncated without an ellipsis or tooltip,Medium
Default date range filter resets every time page refreshes,Medium
Nothing urgent but the pagination is a little inconsistent across pages,Low
You shared my personal data with third parties without my consent — GDPR breach,Critical
"Server is completely down, urgent fix needed immediately",Critical
Completely outraged — our automated payroll failed and staff haven't been paid,Critical
Would love keyboard shortcuts for common actions in the editor,Low
idk if anyone else noticed but the tab labels are a bit confusing,Low
Disappointed that the mobile app is still lagging after last week's patch,Medium
Mildly frustrated — the search results have been off since the last update,Medium
"Express delivery paid for, standard delivery received, no explanation given",High
EVERYTHING IS DOWN!! nothing works at all help us NOW,Critical
Graph rendering completely wrong after chart library upgrade,High
Bulk import failed midway and data is in inconsistent state,High
just a thought — dark mode would be amazing if you could add it,Low
The email notifications are quite delayed — usually 10 minutes,Medium
Bug report: date picker selecting wrong date in non-us timezone regions,High
User profile picture not updating after upload completes,High
"I'm so done with this platform, I can't export my data and I need it urgently",High
"Webhook processing service crashed, missing hundreds of events",Critical
Social share button uses a default image instead of content image,Low
"Kubernetes pods crashing in a loop, auto-healing not working",Critical
Webhook signature verification failing for valid payloads,High
"Package marked delivered but was left with wrong address, now it's gone",High
Multi-step form losing all data if browser back is pressed,High
Data table doesn't remember pagination setting on re-visit,Medium
App is slow sometimes when loading the reports section,Medium
Load balancer failure causing 100% packet loss to backend,Critical
Mildly bothered that the font in the footer is different from everywhere else,Low
"everything just fell over after that update, nothing works, emergency!!",Critical
help??? my account is totally messed up and i have a meeting in 20 mins,High
Stale data shown for a moment before live data loads in,Medium
Bug report: app freezes completely when switching between workspace tabs,High
"Hi team, database replication failed, master and slave out of sync",Critical
Health checks passing but app serving stale cached responses,Critical
"Data loss occurred after the server migration, backups missing",Critical
Search bar placeholder text disappears before user starts typing,Medium
Tired of reporting the same bug over and over with no resolution,Medium
"Server is completely down, urgent fix needed immediately",Critical
Normally a 5 star experience but my account was locked out right before launch,High
Copyright year in footer still shows last year,Low
Transaction history showing incorrect timestamps for records,High
All user sessions invalidated after the server crash,Critical
The 'Learn more' link in empty state has no destination,Low
Issue: Terms of service link opens in the same tab instead of new tab,Low
I am HORRIFIED that my private health data was accessible to other users,Critical
Occasional 'session about to expire' warning on active sessions,Medium
Critical security breach detected in our payment gateway,Critical
"All inventory data wiped after database migration, we cannot fulfill orders",Critical
"app is totally bugged out after last night's update, cant do anything",High
Would like option to set a default view in dashboard on login,Low
"ngl the new UI is kinda ugly, preferred the old one tbh",Low
Would be nice to see the total item count next to each filter label,Low
"SMS OTP service down, users cannot complete 2FA login Need resolution today.",Critical
Incredibly frustrated — your team cancelled my appointment without any notice,High
Search results returning completely wrong data to users Please fix ASAP.,High
Would be helpful to have a confirmation step before deleting tags,Low
Breadcrumbs are missing from several inner pages for navigation,Low
Undo action in the editor reverts two steps instead of one,Medium
Reports scheduled for daily email delivery stopped working,High
"Authentication service offline, no one can log in to the platform",Critical
Bug report: import/export jobs silently failing with no error messages,High
Client funds transferred to wrong account due to system error — urgent recall needed,Critical
I've never been so frustrated — all staff are locked out of the system right now,Critical
"SSL certificate expired, no one can access the site securely",Critical
Onboarding checklist disappears too quickly after completion,Low
System breach: unauthorized admin access detected in logs,Critical
Nobody cares about customers anymore. My order has been wrong three times in a row.,High
Tooltip text is cut off when hovered near the screen edge,Medium
Would love an option to change the app's accent color,Low
List items could use subtle alternating row colors for readability,Low
App crashes every time I try to open the checkout page,High
Hover state on secondary buttons has very low contrast,Medium
PDF export is generating empty files since the last update Need resolution today.,High
I am sick of this — third time this week I've had to reset my password,High
App unable to resume from background on older Android phones,High
Dark mode colors are inconsistent across different sections,Medium
Page takes a moment to respond after clicking action buttons,Medium
Drag and drop in kanban board stopped working on Safari This is very frustrating.,High
Message queue overflow causing complete order processing failure Happening since yesterday.,Critical
Progress bar in file upload doesn't show the percentage as a number This is very frustrating.,Low
Benefits portal is slow and hard to navigate during open enrolment period,Medium
Account lockout after one failed login attempt instead of five,High
I'm beyond angry — your payment gateway took money from 200 of our clients,Critical
Payment processor returning fraud flags on all transactions,Critical
Spacing between form fields seems a bit too wide on mobile,Low
MULTI-STEP FORM LOSING ALL DATA IF BROWSER BACK IS PRESSED,High
Would be helpful to have WiFi in the waiting area for long waits,Low
List items could use subtle alternating row colors for readability Happening since yesterday.,Low
"App shows outdated data after refresh, caching seems broken",High
API returning 403 for valid authenticated requests randomly,High
"Disk full on production server, writes failing system-wide",Critical
The packaging is nice but could be more eco-friendly,Low
We received a regulator notice citing your platform for a data protection failure,Critical
Avatar initials use wrong color in dark mode theme,Low
Would appreciate a 'Remember me' checkbox on the login page,Low
ROLE-BASED PERMISSIONS ARE BROKEN AFTER THE LATEST DEPLOYMENT,High
Race condition in checkout causing orders to be placed twice,Critical
App freezes completely when switching between workspace tabs,High
"Redis cache server down, all DB queries timing out under load",Critical
Push notifications delayed by 30-60 minutes consistently,High
Search takes about 5 seconds which is too slow for daily use,Medium
Absolutely livid that your app locked me out the day before my presentation,High
Push notifications delayed by 30-60 minutes consistently This is very frustrating.,High
Tab key order in the checkout form skips the CVV field,Medium
"Hi team, the help text inside empty form fields is hard to read",Medium
Subscription upgrade not reflecting even after successful payment,High
Paper statements still being sent despite opting out six months ago,Medium
Localization missing for a few labels in the French locale,Medium
Social login buttons could benefit from clearer provider labels,Low
"Production environment deleted by mistake, need immediate rollback",Critical
"the font on mobile is teeny tiny fyi, hard to read",Low
Language preference in settings doesn't persist across sessions,Low
PDF export is generating empty files since the last update,High
A court order requires you to preserve all data related to our account immediately,Critical
"Our warehouse management system crashed during peak dispatch, 500 orders stuck",Critical
Security breach in our online store — customer card data may be compromised,Critical
Number formatting inconsistent — some show commas some don't,Medium
Payment failed and money was deducted from my account Happening since yesterday.,High
"Cronjobs not executing since last night, data pipeline broken",Critical
"Issue: Real-time dashboard showing zero data, streaming pipeline dead",Critical
Feedback: Loading skeleton shapes don't match the actual content layout,Low
Terrible experience — I received someone else's order and need this fixed today,High
Button group has inconsistent border radius across the app,Low
OAuth redirect URL mismatch error blocking all social logins Happening since yesterday.,High
Date picker selecting wrong date in non-US timezone regions,High
Prescription was filled with wrong dosage — I only noticed at home,High
